Name	Efficiency	Guncount	Hull Class	Class	Nation	Skill1	Skill2	Skill3	Skill4	
Bulin	1.00	1	DD	Bullin	Universal					
Purin	1.00	1	DD	Bullin	Universal					
Cassin	1.30	1	DD	Mahan	Union	Quick Reload				
Downes	1.30	1	DD	Mahan	Union	Quick Reload				
Gridley	1.25	1	DD	Gridley	Union					
Craven	1.25	1	DD	Gridley	Union					
McCall	1.25	1	DD	Gridley	Union					
Maury	1.25	1	DD	Gridley	Union					
Fletcher	1.30	1	DD	Fletcher	Union	Tactical Command - DD				
Charles Ausburne	1.30	1	DD	Fletcher	Union					
Thatcher	1.30	1	DD	Fletcher	Union					
Aulick	1.30	1	DD	Fletcher	Union	Quick Reload				
Foote	1.30	1	DD	Fletcher	Union	Quick Reload				
Spence	1.30	1	DD	Fletcher	Union	Quick Reload				
Benson	1.25	1	DD	Benson	Union					
Laffey	1.25	1	DD	Benson	Union	Solomon Wargod	Termination Mode			
Sims	1.3	1	DD	Sims	Union					
Hammann	1.35	1	DD	Sims	Union	Anti-Air Mode				
Eldridge	1.25	1	DD	Cannon	Union					
Omaha	1.3	1	CL	Omaha	Union	Quick Reload				
Raleigh	1.3	1	CL	Omaha	Union	Quick Reload				
Brooklyn	1	1	CL	Brooklyn	Union					
Phoenix	1	1	CL	Brooklyn	Union					
Helena	1	1	CL	St. Louis	Union					
Atlanta	1.6	1	CL	Atlanta	Union	Anti-Air Command - Cruiser	Anti-Air Mode			
Juneau	1.6	1	CL	Atlanta	Union	Anti-Air Mode				
San Diego	1.85	1	CL	Atlanta	Union	I'm No. 1	Song of the Stars			
Cleveland	1.2	1	CL	Cleveland	Union	Anti-Air Mode				
Columbia	1.2	1	CL	Cleveland	Union	Anti-Air Mode				
Pensacola	1.05	1	CA	Pensacola	Union	Reload Order				
Salt Lake City	1.05	1	CA	Pensacola	Union					
Northampton	1.05	1	CA	Northampton	Union					
Chicago	1.05	1	CA	Northampton	Union					
Houston	1.05	1	CA	Northampton	Union					
Portland	1.35	1	CA	Portland	Union	My Sister's Really Great				
Indianapolis	1.3	1	CA	Portland	Union					
Astoria	1.3	1	CA	New Orleans	Union	Nasty Asty				
Quincy	1.3	1	CA	New Orleans	Union					
Vincennes	1.3	1	CA	New Orleans	Union					
Wichita	1.05	1	CA	Wichita	Union					
Nevada	1	1		Nevada	Union					
Oklahoma	1	1		Nevada	Union					
Pennsylvania	1	1	BB	Pennsylvania	Union					
Arizona	1	1	BB	Pennsylvania	Union					
Tennessee	1	1	BB	Tennessee	Union					
California	1	1	BB	Tennessee	Union					
Colorado	1	1	BB	Colorado	Union					
Maryland	1	1	BB	Colorado	Union					
West Virginia	1	1	BB	Colorado	Union					
North Carolina	1	1	BB	North Carolina	Union					
Washington	1	1	BB	North Carolina	Union					
South Dakota	1	1	BB	South Dakota	Union					
Long Island	0.85	1	CVL	Long Island	Union					
Bogue	0.85	1	CVL	Bogue	Union					
Langley	0	0	CVL	Langley	Union	Reload Command - CVL				
Legington	0	0	CV	Lexington	Union					
Saratoga	0	0	CV	Lexington	Union					
Ranger	0	0	CVL	Ranger	Union					
Yorktown	0	0	CV	Yorktown	Union					
Enterprise	0	0	CV	Yorktown	Union					
Hornet	0	0	CV	Yorktown	Union					
Wasp	0	0	CV	Wasp	Union					
Vestal	1	4	AR	Vestal	Union					
Amazon	1.05	1	DD	A	Royal					
Acasta	1.15	1	DD	A	Royal					
Ardent	1.10	1	DD	A	Royal					
Beagle	1.05	1	DD	B	Royal					
Bulldog	1.05	1	DD	B	Royal					
Comet	1.10	1	DD	C	Royal					
Crescent	1.10	1	DD	C	Royal					
Cygnet	1.10	1	DD	C	Royal					
Foxhound	1.10	1	DD	F	Royal	Reload Command - DD				
Fortune	1.10	1	DD	F	Royal					
Glowworm	1.05	1	DD	G	Royal					
Javelin	1.05	1	DD	J	Royal					
Juno	1.05	1	DD	J	Royal					
Vampire	1.05	1	DD	V	Royal					
Leander	1.30	1	CL	Leander	Royal					
Achilles	1	1	CL	Leander	Royal					
Ajax	1	1	CL	Leander	Royal					
Sheffield	1.1	1	CL	Southampton	Royal					
